Sex,Agemos,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97
1,5,−1.046774,16.65079,0.1550993,12.90855,13.28112,13.89993,15.07723,16.65079,18.60172,20.80742,22.40426,23.58309
1,6,−1.032594,18.64088,0.1685233,14.17041,14.60824,15.33896,16.74133,18.64088,21.03668,23.80084,25.83963,27.36547
1,7,−1.015487,20.66037,0.1819188,15.40283,15.90975,16.75961,18.4042,20.66037,23.55329,26.95761,29.51515,31.45556
1,8,−0.991157,23.2016,0.1951612,16.96528,17.558,18.55585,20.5014,23.2016,26.71622,30.92749,34.14503,36.61717
1,9,−0.9524795,26.06358,0.2080576,18.68911,19.38161,20.55156,22.84711,26.06358,30.30098,35.4506,39.43634,42.52811
1,10,−0.8979311,29.04166,0.2201021,20.42467,21.22672,22.58539,25.26373,29.04166,34.05786,40.20527,44.99669,48.73124
1,11,−0.8295125,32.4206,0.2305578,22.38467,23.31419,24.89148,28.00907,32.4206,38.29382,45.50162,51.1186,55.49237
1,12,−0.7531365,36.42373,0.2388563,24.73617,25.81763,27.65393,31.28576,36.42373,43.24885,51.58274,58.03479,63.02903
1,13,−0.678714,40.85276,0.2446715,27.37162,28.62171,30.74394,34.93716,40.85276,48.66688,58.12203,65.36768,70.92835
1,14,−0.6195751,45.73953,0.2479675,30.36456,31.79524,34.22245,39.01013,45.73953,54.57247,65.16076,73.1944,79.31055
1,15,−0.5869272,50.75983,0.2490815,33.55655,35.16184,37.88363,43.24485,50.75983,60.58089,72.28175,81.10396,87.78738
1,16,−0.5862568,55.13887,0.2485967,36.47562,38.21821,41.17227,46.98918,55.13887,65.78262,78.45399,88.00129,95.23035
1,17,−0.6082383,58.58773,0.2471192,38.90816,40.74362,43.85572,49.98706,58.58773,69.84454,83.28848,93.45201,101.1684
1,18,−0.6401284,61.25766,0.2451296,40.89868,42.79431,46.00937,52.34879,61.25766,72.95528,86.9922,97.65765,105.788
2,5,−0.938951,16.42919,0.1685386,12.4482,12.84134,13.49605,14.74714,16.42919,18.52782,20.9147,22.65023,23.93477
2,6,−0.9157015,18.45433,0.178501,13.77099,14.2287,14.99332,16.46255,18.45433,20.96522,23.85503,25.97861,27.56234
2,7,−0.8899531,20.6649,0.1893735,15.16592,15.69748,16.58836,18.31021,20.6649,23.66574,27.16288,29.76165,31.71543
2,8,−0.8623634,23.17324,0.1999672,16.73087,17.34735,18.38368,20.39738,23.17324,26.74599,30.95694,34.11781,36.51143
2,9,−0.8322223,25.97128,0.2097031,18.4657,19.17783,20.37801,22.72062,25.97128,30.18894,35.205,39,41.88993
2,10,−0.7994724,29.38699,0.2178778,20.61651,21.44358,22.84008,25.57478,29.38699,34.35965,40.30696,44.82735,48.28041
2,11,−0.7663324,33.57265,0.2237808,23.31085,24.27543,25.90588,29.10424,33.57265,39.41382,46.41186,51.73588,55.8042
2,12,−0.7413344,38.38703,0.2270551,26.48859,27.60592,29.49531,33.20366,38.38703,45.16304,53.27594,59.44133,64.14745
2,13,−0.731925,43.22614,0.2279888,29.77024,31.03381,33.17061,37.36462,43.22614,50.88586,60.05038,67.00912,72.31693
2,14,−0.7383584,47.25764,0.2272233,32.59572,33.97274,36.30124,40.87108,47.25764,55.60431,65.59375,73.18195,78.97207
2,15,−0.7550535,50.08248,0.2255488,34.66291,36.11118,38.55988,43.36541,50.08248,58.86646,69.39174,77.39851,83.51566
2,16,−0.777939,52.04097,0.2236553,36.16599,37.65651,40.17663,45.12304,52.04097,61.09903,71.97591,80.2705,86.62072
2,17,−0.80327,53.22288,0.2218783,37.13643,38.64573,41.19784,46.20867,53.22288,62.42283,73.50063,81.97466,88.47912
2,18,−0.8281887,53.68508,0.2202955,37.59686,39.10506,41.65562,46.66542,53.68508,62.90914,74.04828,82.59687,89.17638
