Sex,Agemos,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97
1,6,−1.517103,66.63235,5.45E-02,60.57384,61.25787,62.35014,64.28961,66.63235,69.20258,71.74128,73.37689,74.49061
1,7,−0.8599619,68.4252,0.0544365,62.02989,62.77024,63.94291,65.99586,68.4252,71.0263,73.52936,75.1072,76.16604
1,8,−0.122899,70.00534,5.43E-02,63.25323,64.05875,65.32171,67.49496,70.00534,72.62106,75.0694,76.5789,77.57748
1,9,0.5928668,71.42953,5.41E-02,64.31213,65.18827,66.54677,68.84216,71.42953,74.05563,76.45212,77.90115,78.84812
1,10,1.208031,72.7522,5.40E-02,65.28197,66.22851,67.68051,70.09244,72.7522,75.39187,77.75131,79.15622,80.06583
1,11,1.670416,74.00793,5.39E-02,66.22234,67.23188,68.76682,71.2817,74.00793,76.66842,79.01107,80.39101,81.27874
1,12,1.941494,75.20693,5.39E-02,67.17747,68.23347,69.83009,72.42393,75.20693,77.89619,80.24395,81.61855,82.49969
1,13,2.006302,76.34641,5.39E-02,68.17375,69.25226,70.88067,73.52074,76.34641,79.07056,81.44402,82.83173,83.72054
1,14,1.909457,77.42347,5.38E-02,69.19448,70.27475,71.90925,74.56754,77.42347,80.18665,82.60155,84.01652,84.92395
1,15,1.712727,78.43739,5.37E-02,70.20771,71.27696,72.90143,75.55981,78.43739,81.24162,83.70776,85.15915,86.09235
1,16,1.465425,79.39315,5.36E-02,71.19154,72.24384,73.85039,76.49924,79.39315,82.23876,84.76124,86.25423,87.2174
1,17,1.215923,80.30221,5.35E-02,72.13105,73.16668,74.7552,77.39347,80.30221,83.18836,85.76761,87.30318,88.2973
1,18,1.00309,81.1735,5.34E-02,73.01445,74.03813,75.61431,78.24781,81.1735,84.09886,86.73151,88.30693,89.33001
1,19,0.8359149,82.0172,5.34E-02,73.84204,74.8598,76.43139,79.06928,82.0172,84.9826,87.66617,89.27867,90.32846
1,20,0.7079906,82.84536,5.36E-02,74.62514,75.64252,77.2169,79.86864,82.84536,85.85364,88.58779,90.23598,91.31112
