Sex,Agemos,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97
1,5,1.484274,107.9784,5.40E-02,96.72755,98.17271,100.3781,104.0118,107.9784,111.8757,115.3279,117.3701,118.6872
1,6,1.139618,113.6109,5.22E-02,102.3724,103.7914,105.971,109.5992,113.6109,117.6028,121.1796,123.3131,124.6959
1,7,0.9419675,119.1193,5.06E-02,107.8147,109.2292,111.4093,115.0578,119.1193,123.1889,126.8584,129.0574,130.4867
1,8,0.9449131,124.4657,4.94E-02,112.9265,114.3706,116.5963,120.3204,124.4657,128.6186,132.3627,134.6062,136.0643
1,9,0.9488391,129.4396,4.91E-02,117.5055,118.9993,121.3014,125.1531,129.4396,133.7335,137.6041,139.9232,141.4304
1,10,0.6246465,133.9074,4.98E-02,121.5972,123.117,125.4709,129.4415,133.9074,138.4299,142.5483,145.0346,146.6579
1,11,9.42E-02,138.638,5.08E-02,125.9425,127.4751,129.8681,133.9576,138.638,143.4659,147.9409,150.6791,152.4818
1,12,−7.27E-02,144.0198,5.19E-02,130.6711,132.2703,134.774,139.0717,144.0198,149.1572,153.9494,156.8961,158.8421
1,13,0.2517995,149.6053,5.24E-02,135.4007,137.1248,139.8117,144.3891,149.6053,154.9613,159.9034,162.9168,164.8965
1,14,0.9325199,155.8014,5.17E-02,140.697,142.5861,145.4981,150.3728,155.8014,161.2428,166.1509,169.0929,171.0054
1,15,1.843215,161.4386,4.97E-02,145.703,147.7542,150.8666,155.9498,161.4386,166.7743,171.4564,174.2076,175.9748
1,16,2.715764,165.1562,4.69E-02,149.2968,151.4456,154.6555,159.7773,165.1562,170.2502,174.6213,177.1498,178.7593
1,17,3.411383,167.4663,4.42E-02,151.8744,154.0466,157.2535,162.2847,167.4663,172.2878,176.3651,178.7004,180.1785
1,18,3.980551,168.8105,0.0417342,153.6481,155.8031,158.9572,163.8451,168.8105,173.3751,177.1976,179.3726,180.7441
2,5,0.9887214,107.8352,5.39E-02,96.89977,98.27086,100.3825,103.912,107.8352,111.7599,115.2937,117.4091,118.7831
2,6,1.021588,113.0171,5.28E-02,101.7718,103.1839,105.3575,108.9872,113.0171,117.0439,120.6655,122.8318,124.2382
2,7,1.047814,118.522,0.051654,106.9798,108.4309,110.6634,114.3892,118.522,122.6479,126.3557,128.5722,130.0106
2,8,1.046376,123.8421,5.05E-02,112.0533,113.5352,115.8153,119.6207,123.8421,128.0569,131.8449,134.1094,135.5791
2,9,1.01275,129.1633,4.94E-02,117.1632,118.6694,120.9882,124.8615,129.1633,133.4632,137.3318,139.6463,141.1491
2,10,0.9565817,134.6863,4.82E-02,122.4892,124.0165,126.3698,130.3064,134.6863,139.0724,143.0252,145.393,146.9317
2,11,0.8806756,140.31,0.0471158,127.9437,129.4875,131.8689,135.8596,140.31,144.7774,148.8122,151.2332,152.8079
2,12,0.7635555,145.5699,4.60E-02,133.1145,134.6625,137.0543,141.0729,145.5699,150.0999,154.2049,156.6741,158.2826
2,13,0.5740123,149.8175,0.0449087,137.392,138.9255,141.3011,145.3088,149.8175,154.3848,158.5453,161.0578,162.6984
2,14,0.286931,152.6869,4.41E-02,140.3951,141.8969,144.2317,148.1941,152.6869,157.2761,161.4898,164.0497,165.7275
2,15,−0.1007422,154.3053,4.37E-02,142.1866,143.6478,145.93,149.8333,154.3053,158.9247,163.2127,165.8397,167.5707
2,16,−0.5813157,155.1001,4.37E-02,143.1323,144.5521,146.7822,150.632,155.1001,159.7814,164.1887,166.919,168.7308
2,17,−1.140942,155.5257,4.42E-02,143.6594,145.041,147.2248,151.0356,155.5257,160.3117,164.8976,167.7792,169.7091
2,18,−1.765896,155.8763,4.49E-02,144.071,145.417,147.5594,151.3422,155.8763,160.8071,165.6338,168.7209,170.813
